iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
SVN,1908,349,1992,3,NA,NA,Slovenia
SWE,1908,380,1962,4,NA,NA,Sweden
SWZ,1908,572,1981,1,NA,NA,Eswatini
SYR,1908,652,1960,2,NA,NA,Syria
TCD,1908,483,1966,2,NA,NA,Chad
TGO,1908,461,1983,2,NA,NA,Togo
THA,1908,800,2017,1,NA,NA,Thailand
TJK,1908,702,1993,2,NA,NA,Tajikistan
TKM,1908,701,1997,2,NA,NA,Turkmenistan
TLS,1908,860,2016,NA,NA,NA,Timor-Leste
TTO,1908,52,1970,1,NA,NA,Trinidad & Tobago
TUN,1908,616,1959,2,NA,NA,Tunisia
TUR,1908,640,1967,2,NA,NA,Turkey
TZA,1908,510,2002,1,NA,NA,Tanzania
UGA,1908,500,2005,1,NA,NA,Uganda
UKR,1908,369,1961,2,NA,NA,Ukraine
URY,1908,165,1989,2,NA,NA,Uruguay
USA,1908,2,NA,1,NA,NA,United States
UZB,1908,704,1992,2,NA,NA,Uzbekistan
VEN,1908,101,1971,2,NA,NA,Venezuela
VNM,1908,816,1997,2,NA,NA,Vietnam
YEM,1908,679,1969,2,NA,NA,Yemen
ZAF,1908,560,1997,1,NA,NA,South Africa
ZMB,1908,551,1979,1,NA,NA,Zambia
ZWE,1908,552,1999,1,NA,NA,Zimbabwe
AFG,1909,700,1969,2,NA,NA,Afghanistan
AGO,1909,540,1976,2,NA,NA,Angola
ALB,1909,339,1997,2,NA,NA,Albania
ARE,1909,696,2001,1,NA,NA,United Arab Emirates
ARG,1909,160,1968,2,NA,NA,Argentina
ARM,1909,371,1994,2,NA,NA,Armenia
AUS,1909,900,1973,1,NA,NA,Australia
AUT,1909,305,1973,3,NA,NA,Austria
AZE,1909,373,1992,2,NA,NA,Azerbaijan
BDI,1909,516,1993,2,NA,NA,Burundi
BEL,1909,211,1977,2,NA,NA,Belgium
BEN,1909,434,1961,2,NA,NA,Benin
BFA,1909,439,1962,2,NA,NA,Burkina Faso
BGD,1909,771,1972,1,NA,NA,Bangladesh
BGR,1909,355,1960,3,NA,NA,Bulgaria
BHR,1909,692,2000,1,NA,NA,Bahrain
BIH,1909,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1909,370,1961,3,NA,NA,Belarus
BOL,1909,145,1977,2,NA,NA,Bolivia
BRA,1909,140,1965,2,NA,NA,Brazil
BTN,1909,NA,NA,NA,NA,NA,Bhutan
BWA,1909,571,1997,1,NA,NA,Botswana
CAF,1909,482,1964,2,NA,NA,Central African Republic
CAN,1909,20,1964,1,NA,NA,Canada
CHE,1909,225,1961,3,NA,NA,Switzerland
CHL,1909,155,1971,2,NA,NA,Chile
CHN,1909,710,2006,3,NA,NA,China
CIV,1909,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1909,471,1988,2,NA,NA,Cameroon
COD,1909,490,2001,2,NA,NA,Congo - Kinshasa
COG,1909,484,1999,2,NA,NA,Congo - Brazzaville
COL,1909,100,1969,2,NA,NA,Colombia
COM,1909,581,2004,2,NA,NA,Comoros
CPV,1909,402,1979,2,NA,NA,Cape Verde
CRI,1909,94,1962,2,NA,NA,Costa Rica
CUB,1909,40,1965,NA,NA,NA,Cuba
CYP,1909,352,1968,1,NA,NA,Cyprus
CZE,1909,316,1993,3,NA,NA,Czechia
DEU,1909,255,1961,3,NA,NA,Germany
DJI,1909,522,2005,2,NA,NA,Djibouti
DNK,1909,390,1960,4,NA,NA,Denmark
DOM,1909,42,1964,2,NA,NA,Dominican Republic
DZA,1909,615,1969,2,NA,NA,Algeria
ECU,1909,130,1962,2,NA,NA,Ecuador
EGY,1909,651,1960,2,NA,NA,Egypt
ESP,1909,230,1967,2,NA,NA,Spain
EST,1909,366,2005,3,NA,NA,Estonia
ETH,1909,530,1966,2,NA,NA,Ethiopia
FIN,1909,375,1970,4,NA,NA,Finland
FJI,1909,950,2002,1,NA,NA,Fiji
FRA,1909,220,1981,2,NA,NA,France
GAB,1909,481,1961,2,NA,NA,Gabon
GBR,1909,200,1999,1,NA,NA,United Kingdom
GEO,1909,372,1993,3,NA,NA,Georgia
GHA,1909,452,1961,1,NA,NA,Ghana
GIN,1909,438,1960,2,NA,NA,Guinea
GMB,1909,420,2000,1,NA,NA,Gambia
GNB,1909,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1909,411,2001,2,NA,NA,Equatorial Guinea
GRC,1909,350,1984,2,NA,NA,Greece
GTM,1909,90,1960,2,NA,NA,Guatemala
GUY,1909,110,1975,1,NA,NA,Guyana
HND,1909,91,1960,2,NA,NA,Honduras
HRV,1909,344,1991,3,NA,NA,Croatia
HTI,1909,41,1976,2,NA,NA,Haiti
HUN,1909,310,1961,3,NA,NA,Hungary
IDN,1909,850,1999,2,NA,NA,Indonesia
IND,1909,750,1960,1,NA,NA,India
IRL,1909,205,1999,1,NA,NA,Ireland
IRN,1909,630,1964,2,NA,NA,Iran
IRQ,1909,645,1959,2,NA,NA,Iraq
ISR,1909,666,1959,1,NA,NA,Israel
