"","iso3","year","cow_code","x1","toa","country_names"
"2190","GNB",1893,NA,NA,NA,"Guinea-Bissau"
"2191","GNQ",1893,411,42,1947,"Equatorial Guinea"
"2192","GRC",1893,350,42,1922,"Greece"
"2193","GTM",1893,90,42,1952,"Guatemala"
"2194","GUY",1893,110,42,1969,"Guyana"
"2195","HND",1893,91,42,1959,"Honduras"
"2196","HRV",1893,344,42,1954,"Croatia"
"2197","HTI",1893,41,42,NA,"Haiti"
"2198","HUN",1893,310,42,1891,"Hungary"
"2199","IDN",1893,850,42,1957,"Indonesia"
"2200","IND",1893,750,42,1948,"India"
"2201","IRL",1893,205,42,1911,"Ireland"
"2202","IRN",1893,630,42,1949,"Iran"
"2203","IRQ",1893,NA,NA,NA,"Iraq"
"2204","ISR",1893,666,42,1953,"Israel"
"2205","ITA",1893,325,42,1912,"Italy"
"2206","JAM",1893,51,42,1965,"Jamaica"
"2207","JOR",1893,663,42,1978,"Jordan"
"2208","JPN",1893,740,42,1922,"Japan"
"2209","KAZ",1893,705,42,1999,"Kazakhstan"
"2210","KEN",1893,501,42,1966,"Kenya"
"2211","KGZ",1893,703,42,1922,"Kyrgyzstan"
"2212","KHM",1893,NA,NA,NA,"Cambodia"
"2213","KOR",1893,732,42,1963,"South Korea"
"2214","KWT",1893,690,42,NA,"Kuwait"
"2215","LAO",1893,812,42,1999,"Laos"
"2216","LBN",1893,660,42,1963,"Lebanon"
"2217","LBR",1893,450,42,1943,"Liberia"
"2218","LBY",1893,620,42,1958,"Libya"
"2219","LKA",1893,780,42,NA,"Sri Lanka"
"2220","LSO",1893,570,42,NA,"Lesotho"
"2221","LTU",1893,368,42,1925,"Lithuania"
"2222","LUX",1893,212,42,1901,"Luxembourg"
"2223","LVA",1893,367,42,1924,"Latvia"
"2224","MAR",1893,600,42,1959,"Morocco"
